id,name,state_id,in_state_tuition,out_state_tuition,acceptance_rate,designation,size,midpoint_ACT,midpoint_SAT,school_site
181400,Academy of Hair Design-Las Vegas,28,,,,3,45,,,www.ahdvegas.com/
181419,Career College of Northern Nevada,28,,,,3,581,,,www.ccnn.edu
181428,College of Southern Nevada,28,2700,9345,,1,31149,,,www.csn.edu
181446,The Art Institute of Las Vegas,28,17416,17416,,3,952,,,www.ailv.artinstitutes.edu
181464,Everest College-Henderson,28,15000,15000,,3,800,,,www.everest.edu/campus/henderson
181491,Marinello Schools of Beauty-Las Vegas,28,,,,3,367,,,www.marinello.com
181534,University of Nevada-Las Vegas,28,6710,20620,0.8689,1,23329,22,1000,www.unlv.edu/
181604,University of Nevada-Reno,28,6610,20520,0.8388,1,16330,24,1081,www.unr.edu/
181640,Great Basin College,28,2700,9345,,1,2095,,,www.gbcnv.edu
181738,Marinello Schools of Beauty-Reno,28,,,,3,217,,,www.marinello.com
181756,Sierra Nevada College,28,29159,29159,0.6574,2,548,23,1010,www.sierranevada.edu
181765,Truckee Meadows Community College,28,2700,9345,,1,8719,,,www.tmcc.edu
181783,Western Nevada College,28,2700,9345,,1,3500,,,www.wnc.edu
181792,Colby-Sawyer College,29,38040,38040,0.9056,2,1351,,,www.colby-sawyer.edu
181817,Continental Academie of Hair Design-Hudson,29,,,,3,72,,,continentalacademie.com
181853,Daniel Webster College,29,15630,15630,0.6289,3,644,,,www.dwc.edu
181880,Dartmouth College,29,48108,48108,0.115,2,4184,32,1444,www.dartmouth.edu
181941,Empire Beauty School-Laconia,29,,,,3,83,,,www.empirebeautyschools.com
182005,Empire Beauty School-Somersworth,29,,,,3,101,,,www.empirebeautyschools.com
182111,Franklin Pierce University,29,31782,31782,0.843,2,1731,20,949,www.franklinpierce.edu
182148,University of New Hampshire-School of Law,29,,,,1,,,,law.unh.edu
182209,Mount Washington College,29,9000,9000,,3,1504,,,www.mountwashington.edu/index.aspx
182281,Keene Beauty Academy,29,,,,3,51,,,WWW.KEENEBEAUTYACADEMY.edu
182290,Northeast Catholic College,29,21200,21200,1,2,61,,,www.northeastcatholic.edu
182306,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,29,,,,3,161,,,michaels.paulmitchell.edu
182397,New England College,29,33900,33900,0.9573,2,1700,,,www.nec.edu/
